edge_id,from,to,distance,danger_type,congestion,passable,safe_weight,variant,background_only
AM0001,N001,N003,0.034,normal,0.15,True,0.037,default_fast,False
AM0002,N003,N004,0.056,normal,0.15,True,0.061,default_fast,False
AM0003,N004,N005,0.216,normal,0.05,True,0.222,default_fast,False
AM0004,N005,N006,0.179,normal,0.05,True,0.184,default_fast,False
AM0005,N006,N007,0.406,normal,0.05,True,0.418,default_fast,False
AM0006,N007,N008,0.347,normal,0.05,True,0.357,default_fast,False
AM0007,N008,N009,1.239,congestion,0.19,True,1.932,default_fast,False
AM0008,N009,N010,1.069,flood,0.05,True,2.422,default_fast,False
AM0009,N010,N011,14.209,flood,0.472,True,40.113,default_fast,False
AM0010,N011,N012,0.574,congestion,0.75,True,1.165,default_fast,False
AM0011,N012,N013,0.927,congestion,0.225,True,1.473,default_fast,False
AM0012,N013,N014,0.533,normal,0.05,True,0.549,default_fast,False
AM0013,N014,N015,0.111,congestion,0.4,True,0.193,default_fast,False
AM0014,N015,N002,0.073,congestion,0.75,True,0.148,default_fast,False
AM0015,N001,N016,0.034,normal,0.15,True,0.037,via_xizhimen,False
AM0016,N016,N017,0.056,normal,0.15,True,0.061,via_xizhimen,False
AM0017,N017,N018,0.216,normal,0.05,True,0.222,via_xizhimen,False
AM0018,N018,N019,0.179,normal,0.05,True,0.184,via_xizhimen,False
AM0019,N019,N020,0.406,normal,0.05,True,0.418,via_xizhimen,False
AM0020,N020,N021,0.347,normal,0.05,True,0.357,via_xizhimen,False
AM0021,N021,N022,5.3,normal,0.05,True,5.459,via_xizhimen,False
AM0022,N022,N023,1.485,normal,0.05,True,1.53,via_xizhimen,False
AM0023,N023,N024,0.178,normal,0.05,True,0.183,via_xizhimen,False
AM0024,N024,N025,0.066,normal,0.15,True,0.072,via_xizhimen,False
AM0025,N025,N026,0.262,normal,0.15,True,0.286,via_xizhimen,False
AM0026,N026,N027,0.042,normal,0.15,True,0.046,via_xizhimen,False
AM0027,N027,N028,0.013,normal,0.15,True,0.014,via_xizhimen,False
AM0028,N028,N029,0.058,normal,0.15,True,0.063,via_xizhimen,False
AM0029,N029,N030,0.091,normal,0.15,True,0.099,via_xizhimen,False
AM0030,N030,N031,0.389,normal,0.139,True,0.421,via_xizhimen,False
AM0031,N031,N032,0.359,normal,0.05,True,0.37,via_xizhimen,False
AM0032,N032,N033,0.225,normal,0.05,True,0.232,via_xizhimen,False
AM0033,N033,N034,1.838,normal,0.05,True,1.893,via_xizhimen,False
AM0034,N034,N035,5.086,congestion,0.661,True,9.944,via_xizhimen,False
AM0035,N035,N036,2.68,congestion,0.715,True,5.362,via_xizhimen,False
AM0036,N036,N037,0.287,congestion,0.417,True,0.502,via_xizhimen,False
AM0037,N037,N038,1.254,normal,0.087,True,1.319,via_xizhimen,False
AM0038,N038,N039,0.444,normal,0.05,True,0.457,via_xizhimen,False
AM0039,N039,N040,3.303,congestion,0.604,True,6.3,via_xizhimen,False
AM0040,N040,N041,0.574,congestion,0.75,True,1.165,via_xizhimen,False
