edge_id,from,to,distance,danger_type,congestion,passable,safe_weight,variant,background_only
AM0001,N001,N003,0.701,normal,0.103,True,0.788,default_fast,False
AM0002,N003,N004,1.066,normal,0.05,True,1.13,default_fast,False
AM0003,N004,N005,0.28,normal,0.05,True,0.297,default_fast,False
AM0004,N005,N006,3.404,normal,0.05,True,3.608,default_fast,False
AM0005,N006,N007,1.529,fire,0.05,True,8.104,default_fast,False
AM0006,N007,N008,0.088,fire,0.05,True,0.466,default_fast,False
AM0007,N008,N009,0.379,fire,0.05,True,2.009,default_fast,False
AM0008,N009,N010,0.538,fire,0.05,True,2.851,default_fast,False
AM0009,N010,N002,0.041,fire,0.15,True,0.242,default_fast,False
AM0010,N001,N011,0.701,normal,0.103,True,0.788,via_north_wanshoulu,False
AM0011,N011,N012,1.066,normal,0.05,True,1.13,via_north_wanshoulu,False
AM0012,N012,N013,0.28,normal,0.05,True,0.297,via_north_wanshoulu,False
AM0013,N013,N014,3.404,normal,0.05,True,3.608,via_north_wanshoulu,False
AM0014,N014,N015,1.529,fire,0.05,True,8.104,via_north_wanshoulu,False
AM0015,N015,N016,0.088,fire,0.05,True,0.466,via_north_wanshoulu,False
AM0016,N016,N017,0.76,fire,0.05,True,4.028,via_north_wanshoulu,False
AM0017,N017,N018,1.214,fire,0.05,True,6.434,via_north_wanshoulu,False
AM0018,N018,N019,0.125,normal,0.05,True,0.133,via_north_wanshoulu,False
AM0019,N019,N020,0.019,normal,0.15,True,0.022,via_north_wanshoulu,False
AM0020,N020,N021,0.033,normal,0.15,True,0.039,via_north_wanshoulu,False
AM0021,N021,N022,0.052,normal,0.15,True,0.061,via_north_wanshoulu,False
AM0022,N022,N023,0.643,normal,0.05,True,0.682,via_north_wanshoulu,False
AM0023,N023,N024,0.203,normal,0.05,True,0.215,via_north_wanshoulu,False
AM0024,N024,N025,0.194,normal,0.05,True,0.206,via_north_wanshoulu,False
AM0025,N025,N026,1.816,fire,0.05,True,9.625,via_north_wanshoulu,False
AM0026,N026,N027,0.062,normal,0.15,True,0.073,via_north_wanshoulu,False
AM0027,N027,N028,0.981,fire,0.05,True,5.199,via_north_wanshoulu,False
AM0028,N028,N029,0.538,fire,0.05,True,2.851,via_north_wanshoulu,False
AM0029,N029,N002,0.041,fire,0.15,True,0.242,via_north_wanshoulu,False
AM0030,N001,N030,0.701,normal,0.103,True,0.788,via_south_yuegezhuang,False
AM0031,N030,N031,1.066,normal,0.05,True,1.13,via_south_yuegezhuang,False
AM0032,N031,N032,0.28,normal,0.05,True,0.297,via_south_yuegezhuang,False
AM0033,N032,N033,3.404,normal,0.05,True,3.608,via_south_yuegezhuang,False
