edge_id,from,to,distance,danger_type,congestion,passable,safe_weight,variant,background_only
AM0001,N001,N003,0.088,normal,0.05,True,0.093,default_fast,False
AM0002,N004,N005,0.467,normal,0.05,True,0.496,default_fast,False
AM0003,N006,N007,0.137,normal,0.05,True,0.146,default_fast,False
AM0004,N007,N008,0.417,normal,0.05,True,0.443,default_fast,False
AM0005,N009,N010,0.681,normal,0.19,True,0.843,default_fast,False
AM0006,N011,N012,0.805,fire,0.05,True,9.198,default_fast,False
AM0007,N012,N002,0.436,fire,0.05,True,5.669,default_fast,False
AM0008,N009,N013,1.039,congestion,0.342,True,10.966,default_shortest,False
AM0009,N014,N015,0.786,fire,0.05,True,9.016,default_shortest,False
AM0010,N015,N002,0.01,fire,0.05,True,1.596,default_shortest,False
AM0011,N011,N016,0.47,normal,0.05,True,0.499,via_changshou_direct,False
AM0012,N017,N018,0.085,normal,0.05,True,0.09,via_changshou_direct,False
AM0013,N018,N019,0.047,normal,0.15,True,0.056,via_changshou_direct,False
AM0014,N019,N020,0.125,normal,0.15,True,0.148,via_changshou_direct,False
AM0015,N020,N021,0.069,normal,0.15,True,0.082,via_changshou_direct,False
AM0016,N021,N022,0.015,normal,0.15,True,0.018,via_changshou_direct,False
AM0017,N022,N023,0.343,fire,0.15,True,5.166,via_changshou_direct,False
AM0018,N023,N024,0.192,fire,0.05,True,3.336,via_changshou_direct,False
AM0019,N016,N012,0.335,fire,0.05,True,4.703,via_changshou_direct,False
AM0020,N011,N025,0.983,fire,0.05,True,10.9,via_changshou_xikang,False
AM0021,N025,N026,0.111,fire,0.05,True,2.561,via_changshou_xikang,False
AM0022,N026,N027,0.157,fire,0.05,True,3.001,via_changshou_xikang,False
AM0023,N027,N028,0.265,fire,0.05,True,4.034,via_changshou_xikang,False
AM0024,N028,N002,0.291,fire,0.05,True,4.283,via_changshou_xikang,False
AM0025,N001,N029,1.425,normal,0.05,True,1.514,via_yichang_north,False
AM0026,N030,N031,0.091,normal,0.05,True,0.097,via_yichang_north,False
AM0027,N031,N032,0.253,normal,0.05,True,0.269,via_yichang_north,False
AM0028,N033,N034,0.555,normal,0.05,True,0.59,via_yichang_north,False
AM0029,N035,N036,0.213,normal,0.05,True,0.226,via_yichang_north,False
AM0030,N037,N038,0.244,normal,0.05,True,0.259,via_yichang_north,False
AM0031,N038,N039,0.039,normal,0.15,True,0.046,via_yichang_north,False
