edge_id,from,to,distance,danger_type,congestion,passable,safe_weight,variant,background_only
OSM00001,O71121979,O1721531798,0.0403,congestion,0.6,True,8.141,osm_trunk,False
OSM00002,O1721531798,O1721531811,0.037,congestion,0.6,True,8.13,osm_trunk,False
OSM00003,O1721531811,O1721531799,0.0214,congestion,0.6,True,8.075,osm_trunk,False
OSM00004,O1721531799,O1721531804,0.0213,congestion,0.6,True,8.075,osm_trunk,False
OSM00005,O1721531804,O1721533839,0.0275,congestion,0.6,True,8.096,osm_trunk,False
OSM00006,O1721533839,O1721531795,0.0329,congestion,0.6,True,8.115,osm_trunk,False
OSM00007,O1721531795,O1721531808,0.0329,congestion,0.6,True,8.115,osm_trunk,False
OSM00008,O1721531808,O4375143304,0.0149,congestion,0.6,True,8.052,osm_trunk,False
OSM00009,O4375143304,O83316739,0.0175,congestion,0.6,True,8.061,osm_trunk,False
OSM00010,O824481103,O62924733,0.0878,congestion,0.6,True,8.307,osm_residential,False
OSM00011,O62924733,O94820531,0.0936,congestion,0.6,True,8.328,osm_residential,False
OSM00012,O64806543,O64806544,0.078,normal,0.05,True,0.083,osm_residential,False
OSM00013,O64806544,O4239813530,0.0402,normal,0.05,True,0.043,osm_residential,False
OSM00014,O4239813530,O4239813533,0.0454,normal,0.05,True,0.048,osm_residential,False
OSM00015,O4239813533,O8339246257,0.0204,normal,0.05,True,0.022,osm_residential,False
OSM00016,O8339246257,O64806545,0.012,normal,0.05,True,0.013,osm_residential,False
OSM00017,O64806545,O9681338235,0.0314,normal,0.05,True,0.033,osm_residential,False
OSM00018,O9681338235,O64806546,0.027,normal,0.05,True,0.029,osm_residential,False
OSM00019,O64806546,O4239813531,0.0333,normal,0.05,True,0.035,osm_residential,False
OSM00020,O4239813531,O4239813532,0.0314,normal,0.05,True,0.033,osm_residential,False
OSM00021,O4239813532,O4458655110,0.0372,normal,0.05,True,0.04,osm_residential,False
OSM00022,O4458655110,O573259239,0.0591,normal,0.05,True,0.063,osm_residential,False
OSM00023,O573259239,O12459103365,0.0103,normal,0.05,True,0.011,osm_residential,False
OSM00024,O12459103365,O4239813534,0.0249,normal,0.05,True,0.026,osm_residential,False
OSM00025,O4239813534,O4239813535,0.0314,normal,0.05,True,0.033,osm_residential,False
OSM00026,O4239813535,O4239813536,0.0211,normal,0.05,True,0.022,osm_residential,False
OSM00027,O4239813536,O573267343,0.0235,normal,0.05,True,0.025,osm_residential,False
OSM00028,O616806539,O640199097,0.0898,normal,0.08,True,0.099,osm_primary,False
OSM00029,O640199097,O565239556,0.1179,normal,0.08,True,0.13,osm_primary,False
OSM00030,O565239556,O9108225257,0.0542,normal,0.08,True,0.06,osm_primary,False
OSM00031,O9108225257,O565239561,0.1109,normal,0.08,True,0.122,osm_primary,False
OSM00032,O565239561,O616807329,0.0985,normal,0.08,True,0.108,osm_primary,False
OSM00033,O616807329,O616807330,0.0354,normal,0.08,True,0.039,osm_primary,False
OSM00034,O616807330,O726711357,0.0954,normal,0.08,True,0.105,osm_primary,False
OSM00035,O65667398,O12459103372,0.0293,normal,0.08,True,0.032,osm_primary,False
OSM00036,O12459103372,O12459103367,0.0777,normal,0.08,True,0.085,osm_primary,False
OSM00037,O12459103367,O65667396,0.1038,normal,0.08,True,0.114,osm_primary,False
