edge_id,from,to,distance,danger_type,congestion,passable,safe_weight,variant,background_only
AM0001,N001,N003,0.082,normal,0.15,True,0.089,default_fast,False
AM0002,N003,N004,0.526,normal,0.05,True,0.542,default_fast,False
AM0003,N004,N005,0.276,normal,0.05,True,0.284,default_fast,False
AM0004,N005,N006,0.101,normal,0.05,True,0.104,default_fast,False
AM0005,N006,N007,28.878,normal,0.05,True,29.744,default_fast,False
AM0006,N007,N008,0.236,normal,0.05,True,0.243,default_fast,False
AM0007,N008,N009,0.409,normal,0.05,True,0.421,default_fast,False
AM0008,N009,N010,34.639,normal,0.05,True,35.678,default_fast,False
AM0009,N010,N011,0.388,normal,0.05,True,0.4,default_fast,False
AM0010,N011,N012,3.286,normal,0.05,True,3.385,default_fast,False
AM0011,N012,N013,9.611,collapse,0.05,True,79.195,default_fast,False
AM0012,N013,N014,6.298,collapse,0.05,True,51.896,default_fast,False
AM0013,N014,N015,1.748,collapse,0.05,True,14.404,default_fast,False
AM0014,N015,N016,3.775,collapse,0.05,True,31.106,default_fast,False
AM0015,N016,N017,0.331,collapse,0.05,True,2.727,default_fast,False
AM0016,N017,N018,7.818,collapse,0.05,True,64.42,default_fast,False
AM0017,N018,N019,7.841,collapse,0.05,True,64.61,default_fast,False
AM0018,N019,N020,5.555,collapse,0.05,True,45.773,default_fast,False
AM0019,N020,N021,0.836,normal,0.05,True,0.861,default_fast,False
AM0020,N021,N022,12.628,normal,0.05,True,13.007,default_fast,False
AM0021,N022,N023,1.883,normal,0.05,True,1.939,default_fast,False
AM0022,N023,N024,4.785,normal,0.05,True,4.929,default_fast,False
AM0023,N024,N025,4.8,normal,0.05,True,4.944,default_fast,False
AM0024,N025,N026,1.233,normal,0.05,True,1.27,default_fast,False
AM0025,N026,N027,1.014,normal,0.05,True,1.044,default_fast,False
AM0026,N027,N028,0.878,normal,0.05,True,0.904,default_fast,False
AM0027,N028,N029,1.908,normal,0.05,True,1.965,default_fast,False
AM0028,N029,N030,0.413,normal,0.05,True,0.425,default_fast,False
AM0029,N030,N031,0.181,normal,0.05,True,0.186,default_fast,False
AM0030,N031,N032,0.554,normal,0.05,True,0.571,default_fast,False
AM0031,N032,N002,0.018,normal,0.15,True,0.02,default_fast,False
AM0032,N001,N033,0.082,normal,0.15,True,0.089,via_dujiangyan_yingxiu,False
AM0033,N033,N034,0.526,normal,0.05,True,0.542,via_dujiangyan_yingxiu,False
AM0034,N034,N035,0.276,normal,0.05,True,0.284,via_dujiangyan_yingxiu,False
AM0035,N035,N036,0.101,normal,0.05,True,0.104,via_dujiangyan_yingxiu,False
AM0036,N036,N037,28.878,normal,0.05,True,29.744,via_dujiangyan_yingxiu,False
AM0037,N037,N038,0.236,normal,0.05,True,0.243,via_dujiangyan_yingxiu,False
AM0038,N038,N039,0.409,normal,0.05,True,0.421,via_dujiangyan_yingxiu,False
AM0039,N039,N040,35.739,normal,0.05,True,36.811,via_dujiangyan_yingxiu,False
AM0040,N040,N041,0.122,normal,0.05,True,0.126,via_dujiangyan_yingxiu,False
AM0041,N041,N042,2.473,normal,0.05,True,2.547,via_dujiangyan_yingxiu,False
AM0042,N042,N043,1.128,collapse,0.05,True,9.295,via_dujiangyan_yingxiu,False
AM0043,N043,N044,0.965,collapse,0.05,True,7.952,via_dujiangyan_yingxiu,False
AM0044,N044,N045,0.237,collapse,0.05,True,1.953,via_dujiangyan_yingxiu,False
AM0045,N045,N046,0.259,collapse,0.05,True,2.134,via_dujiangyan_yingxiu,False
AM0046,N046,N047,0.003,collapse,0.05,True,0.025,via_dujiangyan_yingxiu,False
AM0047,N047,N048,0.964,collapse,0.05,True,7.943,via_dujiangyan_yingxiu,False
AM0048,N048,N049,0.91,collapse,0.05,True,7.498,via_dujiangyan_yingxiu,False
AM0049,N049,N050,0.08,collapse,0.05,True,0.659,via_dujiangyan_yingxiu,False
AM0050,N050,N051,3.554,collapse,0.05,True,29.285,via_dujiangyan_yingxiu,False
AM0051,N051,N052,0.414,collapse,0.05,True,3.411,via_dujiangyan_yingxiu,False
AM0052,N052,N053,0.252,collapse,0.05,True,2.076,via_dujiangyan_yingxiu,False
AM0053,N053,N054,3.718,collapse,0.05,True,30.636,via_dujiangyan_yingxiu,False
AM0054,N054,N055,6.298,collapse,0.05,True,51.896,via_dujiangyan_yingxiu,False
AM0055,N055,N056,1.748,collapse,0.05,True,14.404,via_dujiangyan_yingxiu,False
AM0056,N056,N057,3.775,collapse,0.05,True,31.106,via_dujiangyan_yingxiu,False
AM0057,N057,N058,0.117,collapse,0.75,True,1.357,via_dujiangyan_yingxiu,False
AM0058,N058,N059,0.278,collapse,0.05,True,2.291,via_dujiangyan_yingxiu,False
AM0059,N059,N060,0.219,collapse,0.05,True,1.805,via_dujiangyan_yingxiu,False
AM0060,N060,N061,0.467,collapse,0.05,True,3.848,via_dujiangyan_yingxiu,False
AM0061,N061,N062,0.401,collapse,0.05,True,3.304,via_dujiangyan_yingxiu,False
AM0062,N062,N063,0.069,collapse,0.05,True,0.569,via_dujiangyan_yingxiu,False
AM0063,N063,N064,0.154,collapse,0.15,True,1.343,via_dujiangyan_yingxiu,False
AM0064,N064,N065,0.085,collapse,0.15,True,0.741,via_dujiangyan_yingxiu,False
AM0065,N065,N066,0.195,collapse,0.15,True,1.7,via_dujiangyan_yingxiu,False
AM0066,N066,N067,0.28,collapse,0.15,True,2.442,via_dujiangyan_yingxiu,False
AM0067,N067,N068,0.203,collapse,0.15,True,1.77,via_dujiangyan_yingxiu,False
AM0068,N068,N069,0.066,collapse,0.15,True,0.576,via_dujiangyan_yingxiu,False
AM0069,N069,N070,0.159,collapse,0.05,True,1.31,via_dujiangyan_yingxiu,False
AM0070,N070,N071,0.617,collapse,0.05,True,5.084,via_dujiangyan_yingxiu,False
AM0071,N071,N072,0.074,collapse,0.05,True,0.61,via_dujiangyan_yingxiu,False
AM0072,N072,N073,0.594,collapse,0.05,True,4.895,via_dujiangyan_yingxiu,False
AM0073,N073,N074,0.207,collapse,0.05,True,1.706,via_dujiangyan_yingxiu,False
AM0074,N074,N075,1.284,collapse,0.05,True,10.58,via_dujiangyan_yingxiu,False
AM0075,N075,N076,0.2,collapse,0.05,True,1.648,via_dujiangyan_yingxiu,False
AM0076,N076,N077,0.368,collapse,0.05,True,3.032,via_dujiangyan_yingxiu,False
AM0077,N077,N078,0.82,collapse,0.05,True,6.757,via_dujiangyan_yingxiu,False
